Date,Calories.Burned,Steps,Distance,Floors,Minutes.Sedentary,Minutes.Lightly.Active,Minutes.Fairly.Active,Minutes.Very.Active,Activity.Calories,Minutes.Asleep,Minutes.Awake,Number.of.Awakenings,Time.in.Bed
2016-04-26,2604,6296,2.95,11,674,253,0,0,1047,450,78,36,529
2016-04-27,2460,4899,2.3,3,862,176,0,0,745,468,18,9,486
2016-04-28,3059,11624,5.48,27,694,306,23,20,1614,306,23,14,329
2016-04-29,3785,20346,10.47,34,620,221,41,94,2319,450,3,2,453
2016-04-30,4020,22253,10.44,56,286,440,101,33,2879,531,10,8,541
2016-05-01,3065,11217,5.26,34,451,342,23,6,1687,598,27,12,625
2016-05-02,3289,13975,7.13,32,716,256,5,39,1729,423,6,3,429
2016-05-03,2967,9581,4.49,52,749,277,0,0,1103,394,28,16,422
2016-05-04,3598,17347,8.14,21,695,332,31,36,1960,368,17,7,386
2016-05-05,3519,20235,9.49,26,606,318,26,65,2152,436,31,10,467
2016-05-06,3173,16292,7.66,13,639,169,38,82,1663,507,21,9,528
2016-05-07,2512,7832,3.67,13,667,125,13,29,876,388,32,13,422
2016-05-08,2848,10399,4.88,39,682,320,8,1,1423,418,58,24,476
2016-05-09,3525,15901,8.08,33,614,213,29,81,2020,476,47,19,524
2016-05-10,2912,7960,3.73,19,698,261,15,16,1410,414,15,7,432
2016-05-11,3247,12955,6.63,22,625,264,12,40,1734,513,12,8,525
2016-05-12,2833,9098,4.31,20,723,194,34,19,1215,465,27,13,492
2016-05-13,3429,15953,7.99,24,723,210,34,69,1897,465,6,4,471
2016-05-14,3833,17077,8.01,75,315,457,58,22,2661,534,25,11,562
2016-05-15,2923,9449,4.43,44,499,261,34,25,1505,533,28,14,562
2016-05-16,3428,14982,7.56,33,634,327,18,38,2000,405,17,9,422
2016-05-17,2608,6305,2.96,20,740,235,0,0,1012,384,36,15,421
2016-05-18,3485,15392,7.76,31,599,299,21,47,2022,454,26,11,480
2016-05-19,2842,7525,3.53,22,759,298,0,0,1282,433,22,12,456
2016-05-20,3491,17015,8.81,30,732,265,9,56,1981,364,20,16,385
2016-05-21,3200,13067,6.13,38,538,334,16,13,1730,522,31,17,553
2016-05-22,3173,13147,6.17,33,535,362,19,9,1793,216,22,13,238
2016-05-23,3244,14199,7.22,16,694,176,28,63,1680,462,18,9,480
2016-05-24,2923,11889,5.62,29,797,206,22,35,1352,404,7,3,411
2016-05-25,3494,16454,8.22,39,645,242,14,77,1969,423,13,8,436
2016-05-26,3344,15420,7.25,24,605,314,32,47,1970,438,14,10,455
2016-05-27,3688,17462,8.96,25,669,218,40,82,2229,435,12,8,447
2016-05-28,3126,11971,5.62,23,566,335,40,5,1728,534,28,13,562
2016-05-29,3214,12053,5.66,29,454,368,38,6,1882,481,43,21,524
2016-05-30,3141,10567,4.96,32,470,304,54,10,1733,533,35,14,568
2016-05-31,3040,11227,5.8,24,743,208,5,41,1465,373,25,14,398
2016-06-01,3167,12141,6.15,14,712,271,11,26,1656,428,10,0,440
2016-06-02,3255,13844,6.94,27,674,274,7,40,1771,409,13,1,426
2016-06-03,3876,19751,10.14,48,685,291,35,79,2468,393,49,4,442
2016-06-04,3205,14277,6.7,31,528,270,42,34,1775,570,15,0,585
2016-06-05,2901,10250,4.81,24,467,296,23,10,1478,507,22,1,529
2016-06-06,3493,17308,8.63,36,670,200,42,86,2002,440,23,2,466
2016-06-07,2849,8017,3.76,33,675,224,39,11,1315,439,45,2,484
2016-06-08,3385,14115,7.02,35,623,237,27,66,1936,485,10,0,495
2016-06-09,2983,12216,5.75,38,618,248,31,33,1524,460,27,1,487
2016-06-10,3556,15643,8.45,24,692,212,34,74,2030,486,23,1,509
2016-06-11,2764,5972,2.8,3,659,322,0,0,1266,398,24,2,422
2016-06-12,3178,13151,6.17,32,576,251,18,61,1701,445,23,2,468
2016-06-13,3368,12916,6.5,20,673,276,27,50,1903,438,25,1,464
2016-06-14,2808,8281,3.89,18,694,271,16,1,1293,378,34,4,412
2016-06-15,3489,16561,8.27,39,613,335,15,49,2095,439,16,3,460
2016-06-16,2997,9177,4.31,31,670,308,26,7,1515,396,28,0,424
2016-06-17,3568,16543,8.55,35,652,318,27,48,2142,416,14,1,430
2016-06-18,3306,12130,5.69,24,564,350,46,10,1949,438,44,5,488
2016-06-19,3583,13178,6.18,41,485,329,67,39,2255,453,79,3,536
2016-06-20,3314,12358,6.22,17,619,244,24,60,1869,407,25,2,432
2016-06-21,3277,14186,6.7,34,615,284,65,30,1859,456,27,2,486
2016-06-22,2892,9890,4.64,26,628,317,11,5,1457,432,21,1,453
2016-06-23,3443,16591,8.3,31,606,242,48,71,2004,441,37,3,478
2016-06-24,3599,16639,8.5,24,641,186,46,100,2115,436,35,2,471
